filename,mean_best_ts,mean_best_ini,mean_ts,low_best_ts,low_best_ini,opt_val,std_best_ts,std_best_ini,std_time_ts,mean_err_best_ts,mean_err_best_ini,low_err_best_ts,low_err_best_ini
gr48_50_9,9269.0,9398.0,0.11234,9269.0,9398.0,7150.0,0.0,0.0,0.01244,29.63636,31.44056,29.63636,31.44056
ulysses16_10_1,6882.93,9600.0,0.01859,6859.0,9600.0,6859.0,16.13087,0.0,0.0112,0.34888,39.96209,0.0,39.96209
ulysses16_10_10,6896.62,9988.0,0.01531,6859.0,9988.0,6859.0,19.83319,0.0,0.01104,0.54848,45.61889,0.0,45.61889
ulysses16_10_2,6880.74,9988.0,0.01469,6859.0,9988.0,6859.0,27.52694,0.0,0.01101,0.31696,45.61889,0.0,45.61889
ulysses16_10_3,6913.97,9988.0,0.01453,6875.0,9988.0,6859.0,28.94493,0.0,0.01066,0.80143,45.61889,0.23327,45.61889
ulysses16_10_4,6907.32,9876.0,0.01516,6859.0,9876.0,6859.0,22.85383,0.0,0.01115,0.70448,43.986,0.0,43.986
ulysses16_10_5,6969.46,9998.0,0.01562,6900.0,9998.0,6859.0,49.50847,0.0,0.00988,1.61044,45.76469,0.59775,45.76469
ulysses16_10_6,6955.3,9954.0,0.01625,6951.0,9954.0,6951.0,18.74327,0.0,0.01306,0.06186,43.20242,0.0,43.20242
ulysses16_10_7,6910.4,9988.0,0.01625,6859.0,9988.0,6859.0,31.20577,0.0,0.00935,0.74938,45.61889,0.0,45.61889
ulysses16_10_8,6915.0,10008.0,0.01672,6859.0,10008.0,6859.0,42.68747,0.0,0.01088,0.81645,45.91048,0.0,45.91048
ulysses16_10_9,6875.5,9876.0,0.01016,6859.0,9876.0,6859.0,23.51064,0.0,0.00838,0.24056,43.986,0.0,43.986
